json_path,dropped_event,drop_ess_min,drop_finite_frac,drop_b,drop_H0_map_ev,base_n_events,loo_n_events,base_H0_map,loo_H0_map,delta_H0_map,base_p50,loo_p50,delta_p50,base_mean,loo_mean,delta_mean,base_sd,loo_sd,delta_sd,kl_base_to_loo
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200216_220804,2.9329902776248398,1.0,-0.03393219513887362,176.66666666666666,25,24,190.66666666666666,193.33333333333331,2.666666666666657,180.23375115505962,182.41269973051266,2.1789485754530347,175.03422498505597,176.44594157681885,1.4117165917628824,16.86465790057251,17.190198581461736,0.32554068088922605,0.026893750823500966
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191103_012549,2446.997815361467,1.0,1.6470484550210887,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,178.54235609366214,-1.6913950613974862,175.03422498505597,172.90338990615538,-2.1308350789005885,16.86465790057251,18.267121559417205,1.4024636588446953,0.007314048397315221
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191126_115259,485.1996323820694,1.0,0.6500966465427797,124.66666666666666,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,181.80122027576192,1.5674691207022988,175.03422498505597,176.93583584768032,1.9016108626243522,16.86465790057251,15.728832681260707,-1.135825219311803,0.00709696793838434
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191215_223052,334.9262644962104,1.0,0.6145290507127118,115.33333333333333,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,181.66386455743955,1.4301134023799307,175.03422498505597,176.7792239845115,1.7449989994555324,16.86465790057251,15.832400750890383,-1.0322571496821276,0.005874899801202524
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200112_155838,1839.691706185957,1.0,2.3953417096462997,186.0,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,179.17569948383266,-1.0580516712269628,175.03422498505597,173.25261000853155,-1.7816149765244234,16.86465790057251,18.396946870634117,1.5322889700616074,0.006205262724958543
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191222_033537,57.18911387361226,1.0,0.8931747335950929,133.33333333333331,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,181.15807862531443,0.9243274702548092,175.03422498505597,176.30813920883216,1.2739142237761882,16.86465790057251,16.036199617015452,-0.8284582835570582,0.0032080997213619123
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191105_143521,2268.1908368653544,1.0,1.4722140293436916,183.33333333333331,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,179.45037222628412,-0.7833789287755053,175.03422498505597,173.751174058559,-1.2830509264969692,16.86465790057251,17.924601954699344,1.0599440541268343,0.003177839049950679
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191230_180458,1.0263391954978232,1.0,-1.8753843353510415,60.0,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,180.87815285742386,0.6444017023642346,175.03422498505597,178.77560338868193,3.7413784036259585,16.86465790057251,11.879843641463772,-4.984814259108738,0.09750828154545997
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191204_110529,479.54010001321757,1.0,1.1958416411938453,193.33333333333331,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,179.76076459659623,-0.4729865584633899,175.03422498505597,174.3045250262668,-0.7296999587891833,16.86465790057251,17.43754236740692,0.5728844668344095,0.0010039753045268714
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191113_071753,958.5055530756971,1.0,1.2767177097965983,174.66666666666666,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,180.02880968034577,-0.2049414747138485,175.03422498505597,174.51553951227632,-0.5186854727796515,16.86465790057251,17.39167190990771,0.5270140093352005,0.0007145959260080918
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200209_085452,28.274069813111694,1.0,0.01760726350923522,70.66666666666666,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,180.41478525421596,0.18103409915633506,175.03422498505597,175.0509253452166,0.016700360160626815,16.86465790057251,17.019048469502767,0.15439056893025693,0.00032593748052515677
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191127_050227,3.0633519487715932,1.0,-0.004334932591268215,122.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,180.19991711912448,-0.03383403593514345,175.03422498505597,175.590422828685,0.556197843629036,16.86465790057251,15.754759976745376,-1.109897923827134,0.006282371706676573
