out_dir,json_path,selection_mode,det_model,weight_mode,pop_z_mode,pop_mass_mode,n_events,H0_min,H0_max,H0_n,H0_map,H0_edge,slope_event,slope_sel,slope_total,delta_event,delta_sel,delta_total,exp_event_per_event
outputs/siren_gate2_gr_h0_mchirpdet_pop_20260203_035313UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_20260203_035313UTC/json/gr_h0_selection_on_none.json,on,snr_mchirp_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,70.9066483675994,-97.81172267434185,-26.90507430674246,79.223086273217,-107.3696606073449,-28.146574334127898,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_m1q_20260203_040425UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_m1q_20260203_040425UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,,70.9066483675994,79.223086273217,,79.223086273217,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_m1q_20260203_040425UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_m1q_20260203_040425UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,-61.56156132888195,9.34508703871745,79.223086273217,-66.68564559551484,12.537440677702172,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_m1q_20260203_040425UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_m1q_20260203_040425UTC/json/gr_h0_selection_on_none.json,on,snr_mchirp_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,70.9066483675994,-97.81172267434185,-26.90507430674246,79.223086273217,-107.3696606073449,-28.146574334127898,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_20260203_040702UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_20260203_040702UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-28.093351632400623,,-28.093351632400623,-29.539530304925734,,-29.539530304925734,-0.8147890672628979
outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_20260203_040702UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_20260203_040702UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-28.093351632400623,-62.032136362362,-90.12548799476261,-29.539530304925734,-67.17255702613757,-96.71208733106323,-0.8147890672628979
outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_20260203_040702UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_20260203_040702UTC/json/gr_h0_selection_on_none.json,on,snr_mchirp_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-28.093351632400623,-97.81172267434185,-125.90507430674248,-29.539530304925734,-107.3696606073449,-136.90919091227056,-0.8147890672628979
outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_selH0_20260203_041532UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_selH0_20260203_041532UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-28.093351632400623,,-28.093351632400623,-29.539530304925734,,-29.539530304925734,-0.8147890672628979
outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_selH0_20260203_041532UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_selH0_20260203_041532UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,-28.093351632400623,36.96786363763802,8.874512005237385,-29.539530304925734,41.59005955200536,12.050529247079567,-0.8147890672628979
outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_selH0_20260203_041532UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_popzH0_selH0_20260203_041532UTC/json/gr_h0_selection_on_none.json,on,snr_mchirp_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-28.093351632400623,1.1882773256581545,-26.905074306742478,-29.539530304925734,1.3929559707979706,-28.146574334127763,-0.8147890672628979
outputs/siren_gate2_gr_h0_mchirpdet_pop_selH0_20260203_040939UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_selH0_20260203_040939UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,,70.9066483675994,79.223086273217,,79.223086273217,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_selH0_20260203_040939UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_selH0_20260203_040939UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,36.96786363763802,107.87451200523742,79.223086273217,41.59005955200536,120.81314582522236,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_selH0_20260203_040939UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_selH0_20260203_040939UTC/json/gr_h0_selection_on_none.json,on,snr_mchirp_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,1.1882773256581545,72.09492569325754,79.223086273217,1.3929559707979706,80.61604224401498,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_120,outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_120/json/gr_h0_selection_off.json,off,,,none,none,33,40.0,120.0,161,114.0,interior,13.557685953206025,,13.557685953206025,15.54421056760053,,15.54421056760053,0.4287560668356794
outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_120,outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_120/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,none,none,33,40.0,120.0,161,41.0,interior,13.557685953206025,-20.79299882557011,-7.235312872364081,15.54421056760053,-23.213128544344393,-7.66891797674387,0.4287560668356794
outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_140,outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_140/json/gr_h0_selection_off.json,off,,,none,none,33,40.0,140.0,201,114.0,interior,10.798080546968333,,10.798080546968333,14.36886422820372,,14.36886422820372,0.3475678472922513
outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_140,outputs/siren_gate2_gr_h0_mchirpdet_zmax062_tests_20260203_054319UTC/grid40_140/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,none,none,33,40.0,140.0,201,41.0,interior,10.798080546968333,-19.795398437653223,-8.997317890684894,14.36886422820372,-25.411523269604594,-11.042659041400867,0.3475678472922513
outputs/siren_gate2_gr_h0_smoke_peak_20260202_0635UTC,outputs/siren_gate2_gr_h0_smoke_peak_20260202_0635UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,8.156044347179648,,8.156044347179648,8.960857991931718,,8.960857991931718,2.7188414828296144
outputs/siren_gate2_gr_h0_smoke_peak_20260202_0635UTC,outputs/siren_gate2_gr_h0_smoke_peak_20260202_0635UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,8.156044347179648,-6.203318295511376,1.952726051668273,8.960857991931718,-6.592292684635101,2.368565307296606,2.7188414828296144
outputs/siren_gate2_gr_h0_smoke_peak_znone_20260202_0637UTC,outputs/siren_gate2_gr_h0_smoke_peak_znone_20260202_0637UTC/json/gr_h0_selection_off.json,off,,,none,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,3.475559331661863,,3.475559331661863,3.8694319427918193,,3.8694319427918193,1.1740362463640024
outputs/siren_gate2_gr_h0_smoke_peak_znone_20260202_0637UTC,outputs/siren_gate2_gr_h0_smoke_peak_znone_20260202_0637UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,none,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,3.475559331661863,-2.242065055026151,1.233494276635712,3.8694319427918193,-2.3468017561984897,1.5226301865933296,1.1740362463640024
outputs/siren_gate2_gr_h0_smoke_peakf05_20260202_0636UTC,outputs/siren_gate2_gr_h0_smoke_peakf05_20260202_0636UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,9.975413802458235,,9.975413802458235,10.723124094983461,,10.723124094983461,3.253536061080451
outputs/siren_gate2_gr_h0_smoke_peakf05_20260202_0636UTC,outputs/siren_gate2_gr_h0_smoke_peakf05_20260202_0636UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,9.975413802458235,-6.221434120412288,3.7539796820459483,10.723124094983461,-6.608943706773383,4.114180388210087,3.253536061080451
outputs/siren_gate2_gr_h0_smoke_peakf09_20260202_0636UTC,outputs/siren_gate2_gr_h0_smoke_peakf09_20260202_0636UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,11.029045626725132,,11.029045626725132,11.932585947743853,,11.932585947743853,3.6205026015775448
outputs/siren_gate2_gr_h0_smoke_peakf09_20260202_0636UTC,outputs/siren_gate2_gr_h0_smoke_peakf09_20260202_0636UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,3,40.0,120.0,11,120.0,high,11.029045626725132,-6.22358092562229,4.80546470110284,11.932585947743853,-6.610916961205721,5.321668986538128,3.6205026015775448
outputs/siren_gate2_gr_h0_smoke_smooth2_20260202,outputs/siren_gate2_gr_h0_smoke_smooth2_20260202/json/gr_h0_selection_off.json,off,,,none,powerlaw_q_smooth,3,40.0,120.0,11,120.0,high,2.935618323078033,,2.935618323078033,3.2261327010367227,,3.2261327010367227,0.9788508449290724
outputs/siren_gate2_gr_h0_smoke_smooth2_20260202,outputs/siren_gate2_gr_h0_smoke_smooth2_20260202/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,none,powerlaw_q_smooth,3,40.0,120.0,11,120.0,high,2.935618323078033,-2.4359587057969034,0.4996596172811294,3.2261327010367227,-2.6094109876669407,0.6167217133697829,0.9788508449290724
outputs/siren_gate2_gr_h0_smoke_smooth2_20260202,outputs/siren_gate2_gr_h0_smoke_smooth2_20260202/json/gr_h0_selection_on_none.json,on,snr_binned,none,none,powerlaw_q_smooth,3,40.0,120.0,11,40.0,low,2.935618323078033,-7.387548607472672,-4.451930284394639,3.2261327010367227,-7.857775822217279,-4.6316431211805575,0.9788508449290724
outputs/siren_gate2_gr_h0_smoke_smooth_20260202,outputs/siren_gate2_gr_h0_smoke_smooth_20260202/json/gr_h0_selection_off.json,off,,,none,powerlaw_q_smooth,3,40.0,120.0,11,120.0,high,2.935618323078033,,2.935618323078033,3.2261327010367227,,3.2261327010367227,0.9788508449290724
